full_text;sentiment
beautiful kang yoomi parkminyoung marrymyhusband unstoppablehighkick ctto;positive
kang jiwon s cute paparazzi marrymyhusband;positive
sumin marry my husband ngga bener cancel fitnah kasian namanya jahat nyebar rumor palsu;neutral
comel dahla matching color baju eee marrymyhusband;neutral
prefer suminah marry my husband aktingnya ngena;neutral
efek fanmeeting drama selesai nongkrong top 3 poinnya bertambah terserah bilang pesona marry my husband nyata menikmatinya parkminyoung;positive
my 2ji heart membuncah melimpah ruah parkminyoung mybrandnewdayinjapan mybrandnewdayinosaka mybrandnewday nainwoo marrymyhusband;neutral
and from now til my very last breath this day i ll cherish you look so beautiful in white acaranya 2ji maret kelar hajatan tgl 20 april sehat2 berdua parkminyoung nainwoo marrymyhusband;positive
terimakasih memakai jasa order wa price list harga zonauang zonauang eyeloveyou fcklive marrymyhusband becak хтивийпонеділок jasahack vcs ajautr;neutral
marry my husband seru keasikan nonton drakor ngaji;neutral
nonton drakor marry my husband seru;neutral
cw korea kdrama kelanjutan bully villain marry my husband bener pembully dituduh;neutral
marry my husband top 1 puas hati revenge;positive
main marry my husband kaget aing ngikutin;positive
kepincut abs nnton marry my husband senyumnya adem bener mngajak berumah tangga;positive
marry my husband;neutral
marry my husband judulnya wakakak maaf nonton dramanya;neutral
aaaaa telat gpp sumpah marry my husband seruuuu bgttt wajib nnton;neutral
aduh su mi pamornya karna main marry my husband;positive
kebayang victimnya ngeliat sukses marry my husband pantes cocok jd psikopat anjir 90 menit;neutral
sdh lbh sebulan tamat marry my husband ranking 5 weekday drama trend index ranking;neutral
marry my husband ni feel 1 suka park min young 2 tengok na in woo kat 2d1n;neutral
semoga casts marrymyhusband eligible nominasi borong piala taun;neutral
bentar tuh drama marry my husband;neutral
marry my husband gikwang;neutral
drama hits menguras emosi suka balas dendamnya marrymyhusband cerita 2 sahabat ngga sedekat soo min selingkuh pacarnya kang ji won;neutral
kaget boa main marry my husband;positive
marry my husband drakor indosiar skali anjerrr;neutral
mah ji hyuk marry my husband;neutral
pemeran eunho drama marry my husband lee gikwang highlight kemampuan menari gaeul rdz;neutral
marry my husband seru anjoy;neutral
beneran marry my husband situasi bjrot anjir;neutral
seru serunya nonton marry my husband kepikiran bad mood aahhh jinjja nangis nangis malem cape;negative
marry my husband bercerita wanita sakit parah menyaksikan suami sahabatanya berselingkuh tragis meninggal dunia 10 memperbaiki hidupnya;neutral
drakor marry my husband anak2 semoga sehat happy;positive
thank you ruhainies sbb kutip sampah bella marrymyhusband;neutral
su min marry my husband pantes akting kek keren takut;neutral
lg nntn marry my husband ep 1 bnr2 gasabar revenge;neutral
marry my husband amp pyramid game tengok cerita progress je curious nak next episode queen tears kena selera kot tunggu nak cerai episod 6 bru wife laki nak cerai jenuh;negative
cerita marry my husband ni cerita if one not good for you in woo amp gi kwang tunggu okay hahaha;positive
gara2 marry my husband mukanya kaya muka boa dibilang oplas boa berumur jg perubahan wajahnya bingung ngehate;neutral
marry my husband mengajarkanku ngikutin drama on going makjang queen tears nontonnya mei;neutral
tmn khatam drakor perfect marriage revenge sebelas duabelas kaya marry my husband marry my husband blm nntn samsek kelarin trs nyambi queen tears;positive
pen kek drakor marry my husband gausah 10 taun kejauhan 3 4;neutral
nonton marry my husband kayak boa nonton drama mmh boa;neutral
bentar salfok kirain bingung marry my husband nyangka penasaran cek cast list kaget beneran;neutral
kayanya butuh kosong ngerti ceritanya marry my husband wkwkwkwk;neutral
